District/Taluk/Hobli,Pre-Monsoon Actual (mm),SWM Actual (mm),NEM Actual (mm),Annual Actual (mm)
BENGALURU URBAN ,169.0,468.0,491.0,1082.0
Anekal Total,161.0,458.0,417.0,1036.0
Anekal_1,135.0,322.0,391.0,848.0
Attibele_1,171.0,378.0,343.0,892.0
Jigani_1,165.0,528.0,457.0,1149.0
Sarjapura_1,185.0,509.0,460.0,1154.0
Anekal_2,145.0,407.0,404.0,956.0
Jigani_2,190.0,556.0,375.0,1121.0
Attibele_2,148.0,498.0,485.0,1131.0
Sarjapura_1,135.0,495.0,458.0,1088.0
Sarjapura_3,167.0,467.0,419.0,1053.0
Bengaluru North Total,189.0,447.0,522.0,1158.0
Bengaluru North_1,217.0,470.0,520.0,1207.0
Dasanapura_1,195.0,442.0,522.0,1159.0
Yashavantapura_1,132.0,445.0,575.0,1152.0
Bengaluru North_2,125.0,440.0,374.0,939.0
Yashavantapura_2,234.0,476.0,577.0,1286.0
Dasanapura_2,157.0,405.0,461.0,1023.0
Dasanapura_3,145.0,394.0,492.0,1031.0
Bengaluru South Total,209.0,464.0,483.0,1156.0
Beguru_3,195.0,462.0,412.0,1068.0
Kengeri_1,255.0,449.0,501.0,1205.0
Tavarekere_1,189.0,401.0,560.0,1150.0
Uttarahalli_4,208.0,540.0,605.0,1353.0
Uttarahalli_1,166.0,463.0,389.0,1018.0
Uttarahalli_2,212.0,473.0,435.0,1120.0
Uttarahalli_3,241.0,556.0,510.0,1307.0
Uttarahalli_5,217.0,442.0,461.0,1120.0
Beguru_1,214.0,481.0,471.0,1166.0
Beguru_2,155.0,449.0,413.0,1016.0
Kengeri_2,245.0,481.0,494.0,1219.0
Kengeri_3,224.0,494.0,474.0,1192.0
Kengeri_4,280.0,552.0,678.0,1509.0
Tavarekere_2,141.0,348.0,417.0,906.0
Tavarekere_3,217.0,451.0,532.0,1199.0
Bengaluru East,148.0,487.0,465.0,1101.0
Mahadevpura_1,173.0,481.0,405.0,1059.0
Bidarahalli_2,124.0,500.0,459.0,1083.0
Varturu_1,187.0,474.0,447.0,1108.0
K R Pura_2,118.0,482.0,493.0,1094.0
K R Pura_3,202.0,495.0,429.0,1126.0
Varturu_2,159.0,460.0,399.0,1018.0
Bidarahalli_1,126.0,480.0,430.0,1036.0
Mahadevapura_2,178.0,430.0,395.0,1003.0
Marathahalli,197.0,517.0,599.0,1313.0
Bidharahalli_3,75.0,532.0,590.0,1196.0
Yelahanka Total,120.0,498.0,594.0,1212.0
Yelahanka_1,106.0,550.0,621.0,1277.0
Yelahanka_2,89.0,456.0,534.0,1079.0
Yelahanka_3,94.0,509.0,563.0,1166.0
Jala_1,84.0,430.0,541.0,1055.0
Jala_2,111.0,500.0,603.0,1214.0
Jala_3,111.0,446.0,661.0,1218.0
Hesarughatta_1,180.0,454.0,552.0,1186.0
Hesarughatta_2,133.0,563.0,591.0,1286.0
BENGALURU URBAN ,326.0,790.0,340.0,1456.0
Anekal Total,307.0,761.0,359.0,1427.0
Anekal_1,268.0,681.0,438.0,1387.0
Attibele_1,278.0,573.0,364.0,1215.0
Jigani_1,291.0,790.0,364.0,1445.0
Sarjapura_1,347.0,801.0,290.0,1438.0
Anekal_2,329.0,735.0,409.0,1473.0
Jigani_2,321.0,960.0,344.0,1625.0
Attibele_2,326.0,745.0,347.0,1418.0
Sarjapura_1,366.0,809.0,332.0,1507.0
Sarjapura_3,271.0,676.0,279.0,1225.0
Bengaluru North Total,311.0,759.0,313.0,1383.0
Bengaluru North_1,325.0,757.0,318.0,1401.0
Dasanapura_1,292.0,767.0,348.0,1407.0
Yashavantapura_1,288.0,638.0,323.0,1249.0
Bengaluru North_2,264.0,682.0,308.0,1254.0
Yashavantapura_2,344.0,728.0,298.0,1369.0
Dasanapura_2,314.0,836.0,293.0,1443.0
Dasanapura_3,286.0,862.0,280.0,1428.0
Bengaluru South Total,369.0,827.0,299.0,1495.0
Beguru_3,341.0,800.0,336.0,1477.0
Kengeri_1,422.0,836.0,324.0,1581.0
Tavarekere_1,371.0,924.0,291.0,1586.0
Uttarahalli_4,410.0,838.0,360.0,1608.0
Uttarahalli_1,322.0,730.0,298.0,1349.0
Uttarahalli_2,323.0,927.0,281.0,1531.0
Uttarahalli_3,372.0,914.0,342.0,1628.0
Uttarahalli_5,347.0,664.0,320.0,1331.0
Beguru_1,340.0,792.0,306.0,1438.0
Beguru_2,351.0,737.0,283.0,1371.0
Kengeri_2,437.0,874.0,269.0,1580.0
Kengeri_3,370.0,798.0,267.0,1434.0
Kengeri_4,397.0,788.0,362.0,1547.0
Tavarekere_2,322.0,752.0,263.0,1336.0
Tavarekere_3,393.0,866.0,297.0,1555.0
Bengaluru East,292.0,794.0,337.0,1424.0
Mahadevpura_1,258.0,578.0,268.0,1104.0
Bidarahalli_2,231.0,756.0,333.0,1320.0
Varturu_1,343.0,904.0,342.0,1589.0
K R Pura_2,277.0,668.0,284.0,1229.0
K R Pura_3,283.0,773.0,350.0,1407.0
Varturu_2,342.0,759.0,297.0,1398.0
Bidarahalli_1,242.0,823.0,385.0,1450.0
Mahadevapura_2,254.0,658.0,222.0,1134.0
Marathahalli,402.0,1042.0,395.0,1839.0
Bidharahalli_3,307.0,886.0,418.0,1612.0
Yelahanka Total,336.0,806.0,402.0,1543.0
